segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,segmentData15,segmentData16,segmentData17,segmentData18,segmentData19,segmentData20,segmentData21,segmentData22,segmentData23,segmentData24,segmentData25,segmentData26,segmentData27,segmentData28,segmentData29,segmentData30,segmentData31,segmentData32,segmentData33,segmentData34,segmentData35,segmentData36,segmentData37,segmentData38,segmentData39,segmentData40,segmentData41,segmentData42,segmentData43,segmentData44,segmentData45,segmentData46,segmentData47,segmentData48,segmentData49,segmentData50,segmentData51,segmentData52,segmentData53,segmentData54,segmentData55,segmentData56,segmentData57,segmentData58,segmentData59,segmentData60,segmentData61,segmentData62,segmentData63,segmentData64,labels
-78.81948,-53.49255,-30.27635,-65.431,0.3283295,48.0096,-135.5201,5.097587,-42.14123,11.82826,57.25998,19.6386,19.99451,-49.81964,-136.6901,-89.17403,23.64548,-7.31679,0.7331119,3.071486,15.6523,-244.6473,-253.4628,-251.5314,-282.8084,-206.0869,43.99502,-153.3415,-179.7732,-290.0161,-132.7478,-90.65932,-23.39573,-83.31879,-64.56509,-63.80822,-107.6705,-124.0954,-148.5723,-99.47879,-121.2656,-7.519968,-47.56199,-90.74184,-107.2948,-19.55069,-145.672,-41.8192,-238.4764,-37.4092,-52.57596,-57.19066,-65.83733,-45.38762,11.80974,-53.25526,16.10707,-28.74761,-71.10712,17.30441,-13.28595,-42.49477,19.87803,44.69071,TASK1T0
-91.75949,-72.42458,-46.92479,-80.76633,-21.19353,32.04857,-136.1633,-30.49488,-60.32611,-21.11772,34.48695,-4.164923,-1.061056,-58.99647,-161.1924,-114.3384,-2.203305,-20.22631,-14.0031,-8.248965,5.44671,-227.6634,-243.101,-243.5646,-261.3721,-170.8203,49.97659,-127.8514,-212.0716,-267.7711,-110.413,-72.56963,-13.96945,-74.9663,-53.78133,-48.95515,-148.1566,-85.73321,-134.2122,-115.3591,-120.3846,20.8676,-16.79165,-73.22176,-94.93237,9.906725,-133.5229,-90.4626,-228.4636,-23.26413,-36.20746,-46.70671,-51.69374,-19.81319,40.47787,-32.29308,32.64677,-7.957575,-47.45292,6.945382,5.957502,-10.62746,37.01427,62.86906,TASK1T0
-69.68929,-44.95145,-17.62229,-53.10433,7.980547,58.28463,-121.8221,12.03301,-41.72357,9.769206,56.99089,18.94227,18.95301,-38.87399,-128.8859,-86.7063,17.90216,0.126789,-2.3116,11.12893,21.09671,-200.8378,-222.8997,-209.3806,-231.1216,-160.2603,80.15324,-115.5788,-162.4296,-241.9734,-93.1711,-59.00791,3.097812,-64.30547,-38.52582,-27.10981,-75.47052,-79.79184,-133.4848,-68.03146,-120.7014,3.291817,-44.84892,-76.19099,-112.7995,-9.804214,-158.3251,-95.73117,-272.1209,-66.73146,-77.10246,-87.39285,-92.16428,-65.50224,2.926783,-77.9272,-27.74401,-56.0434,-99.23126,6.438212,-47.34161,-68.63668,-4.793812,13.35028,TASK1T0
-103.3626,-74.48797,-51.90275,-84.00394,-14.47173,39.49425,-145.1491,-35.49558,-84.85978,-31.33455,25.03772,-13.13427,-19.05065,-73.22658,-181.1135,-129.7141,-29.52554,-49.85174,-40.60326,-39.39157,-28.08135,-244.4674,-269.1986,-251.6943,-273.4276,-203.365,31.68554,-149.9888,-223.6937,-285.6043,-145.4009,-96.58682,-24.39934,-93.39111,-69.06718,-55.50367,-138.1375,-114.4268,-144.5089,-109.955,-132.9883,-17.79248,-59.52238,-108.0446,-124.3432,-30.6361,-169.2761,-70.77978,-260.9517,-60.60078,-72.41523,-77.32536,-89.99074,-54.22152,5.020787,-66.13611,-6.544785,-38.87688,-84.90476,1.871972,-26.21184,-53.81392,11.70529,41.9248,TASK1T0
-85.37239,-60.50412,-33.51887,-65.52944,-2.515141,50.45761,-125.3104,-9.26319,-56.32266,-1.687132,53.58042,11.71109,0.9650341,-51.78239,-123.8276,-86.9701,16.86788,-8.497952,-3.226455,2.963105,8.571962,-190.0759,-205.2912,-201.5992,-207.6211,-143.0252,97.33531,-86.93835,-154.1048,-219.5168,-74.14243,-43.21964,19.02187,-46.86575,-10.12518,-8.629627,-77.49464,-41.7077,-113.8183,-56.91961,-78.39681,31.24824,3.350733,-59.16468,-82.86659,-5.802216,-116.6329,-86.35229,-225.6244,-34.18137,-38.73505,-47.37656,-59.06449,-25.91323,37.88803,-24.46838,22.14642,-24.38377,-62.63314,17.02152,-4.415854,-21.29659,25.71124,50.31454,TASK1T0
-73.1152,-42.75107,-22.54087,-61.80315,6.45146,59.67883,-108.0801,15.15709,-52.03608,-11.82538,46.09092,-1.690279,1.408485,-38.32868,-121.7693,-98.68225,1.642364,-16.89046,-18.76617,-13.77448,-0.4019123,-187.2439,-204.1233,-184.2892,-264.5357,-145.0849,77.29017,-96.98668,-130.5232,-243.7502,-82.01295,-49.94757,7.259924,-62.80646,-30.45577,-30.39511,-105.1616,-3.27875,-150.7103,-86.96178,-116.8357,-1.573016,-34.88728,-90.71479,-90.54752,-26.77277,-155.9698,-88.28841,-267.8865,-80.36447,-87.45442,-102.772,-104.8966,-73.12812,-2.151821,-84.41044,-23.92247,-70.59326,-111.3694,-14.34336,-41.36745,-64.27873,-16.16447,22.55072,TASK1T0
-89.58741,-59.40832,-47.24045,-87.68452,-19.08303,26.51943,-156.0458,-24.81861,-78.00214,-33.42086,24.67106,-16.21297,-24.91242,-75.39503,-160.9543,-130.7673,-34.10294,-47.80615,-49.82929,-38.72711,-32.73643,-200.806,-238.4526,-229.4431,-177.8106,-156.6236,74.2101,-127.71,-221.7676,-228.11,-87.55143,-46.1231,10.07353,-62.51952,-36.02067,-27.75066,-92.45212,-111.0197,-136.8106,-60.96696,-100.1678,27.20026,-14.77643,-85.49706,-82.3018,-13.27386,-148.1833,-101.1906,-247.3939,-59.65955,-70.65768,-74.32087,-89.18615,-44.58022,22.53015,-52.61909,1.645649,-36.10928,-81.00222,10.99846,-11.10036,-28.51736,22.00772,63.05143,TASK1T0
-55.06737,-28.88305,-3.421896,-40.97649,27.47661,92.34874,-69.71426,17.65243,-48.80346,8.715233,71.92827,21.70617,33.29383,-12.56224,-117.5629,-76.56466,21.99151,3.087512,4.424802,16.02125,12.04178,-158.7509,-185.9901,-171.7412,-188.9178,-110.4707,117.3665,-45.2948,-180.9924,-191.7136,-61.40253,-22.106,40.27823,-28.45886,15.21477,39.54522,-81.76974,-52.11889,-107.232,-41.21026,-78.4915,30.68376,-2.122001,-65.77268,-87.78027,-4.723207,-140.7631,-103.9849,-240.0011,-58.91505,-63.13161,-75.43861,-89.93094,-47.80213,18.46321,-52.43444,-13.70374,-56.91779,-92.53236,-1.242291,-37.41046,-54.40582,-1.050506,24.02877,TASK1T0
-98.46526,-67.24609,-53.40802,-91.46409,-11.62694,41.10439,-136.1525,-12.84536,-80.04253,-44.19711,20.19635,-24.72555,-25.89482,-67.06019,-134.8111,-122.8514,-31.84713,-46.43363,-49.60095,-42.73555,-34.82435,-203.7727,-230.6807,-217.0711,-232.1932,-172.869,59.57787,-119.8867,-176.7805,-244.0084,-98.52644,-74.94228,-26.13298,-87.59906,-57.77797,-52.5284,-94.96602,-34.13769,-168.9087,-91.17669,-109.2469,-6.956821,-33.43596,-106.6568,-91.26829,-50.32072,-156.7276,-81.35739,-273.8963,-93.18086,-96.84364,-105.4143,-110.4182,-75.87581,-10.23726,-71.92152,-33.85275,-69.81693,-114.1107,-17.12557,-43.8849,-65.84264,-11.84689,31.38874,TASK1T0
-85.37606,-57.80124,-52.98726,-97.64389,-16.89057,36.18527,-124.1953,8.113031,-83.13083,-31.06104,30.66587,-15.63386,-3.131521,-49.49024,-122.342,-96.2747,-13.29685,-27.70982,-24.46829,-20.87107,-16.5056,-170.4884,-190.7442,-175.6749,-201.6106,-122.5574,90.75539,-85.89277,-127.3142,-194.3543,-35.08564,-18.01117,35.97384,-45.19015,-4.341611,-0.6930954,-86.78989,-9.503108,-116.8588,-42.28507,-63.74268,34.20837,25.07434,-71.04263,-37.81953,-7.273732,-137.0374,-78.05568,-215.0281,-34.26487,-38.07077,-51.64741,-63.67152,-27.007,39.63994,-40.42228,24.39371,-25.41957,-71.91934,12.95668,2.421145,-14.28374,31.89155,61.69152,TASK1T0
