segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,segmentData15,segmentData16,segmentData17,segmentData18,segmentData19,segmentData20,segmentData21,segmentData22,segmentData23,segmentData24,segmentData25,segmentData26,segmentData27,segmentData28,segmentData29,segmentData30,segmentData31,segmentData32,segmentData33,segmentData34,segmentData35,segmentData36,segmentData37,segmentData38,segmentData39,segmentData40,segmentData41,segmentData42,segmentData43,segmentData44,segmentData45,segmentData46,segmentData47,segmentData48,segmentData49,segmentData50,segmentData51,segmentData52,segmentData53,segmentData54,segmentData55,segmentData56,segmentData57,segmentData58,segmentData59,segmentData60,segmentData61,segmentData62,segmentData63,segmentData64,labels
3.897606,-53.6202,-74.55796,-60.41449,-67.28799,-69.64157,-103.5303,-53.49982,-61.93045,-59.92851,-73.91882,-34.71057,-67.46815,-76.341,-60.36608,-47.55623,-71.43127,-72.62991,-93.31084,-35.29833,-21.76801,-30.40705,-27.39724,-23.04198,-16.33427,-72.83551,-65.02809,-72.33954,-7.359661,-51.76195,-68.25999,-75.27208,-48.38521,-40.97736,-48.54438,-50.84909,-51.76579,-46.20649,-28.69777,-113.4117,-21.77943,-39.74008,-2.226265,-15.71876,-56.23609,-34.06501,-20.49902,-23.41653,-24.07668,-50.67403,-63.89825,-91.23682,-40.40491,-33.43182,-98.30996,-23.98629,10.91597,-56.45129,-53.76042,-77.63757,-48.79221,-97.8204,-112.5058,-64.84184,BASE1T0
-7.58216,-52.87081,-70.00573,-49.21726,-53.96972,-74.44557,-87.99799,-65.80275,-57.07904,-55.81599,-70.09505,-33.22923,-68.27663,-74.87144,-57.87126,-42.74645,-69.2625,-65.65865,-91.31609,-35.06897,-24.85855,-18.64209,-19.78396,-15.90384,-9.17124,-69.26097,-57.83721,-64.47835,12.17945,-50.01096,-55.00342,-66.03269,-39.32831,-35.92445,-46.07805,-47.16777,-49.575,-22.65166,-42.47463,-113.1401,-8.202266,-25.26038,8.986927,-4.396613,-45.57077,-22.22803,-27.15816,-18.27482,-33.52153,-43.88442,-53.28608,-79.86369,-24.67502,-21.47624,-88.00907,-32.81223,9.628417,-48.77295,-39.63932,-66.667,-50.53093,-98.0763,-103.2335,-61.44895,BASE1T0
5.722028,-34.13124,-53.95869,-39.57012,-45.26525,-79.69667,-76.73462,-53.39792,-45.5125,-48.53886,-63.64826,-14.27632,-57.68048,-60.46819,-40.43906,-31.68602,-60.495,-58.48058,-78.7028,-28.28688,-9.767977,-7.051965,-10.47059,3.709337,3.704913,-54.3532,-51.75962,-57.44919,10.8963,-36.8117,-42.53832,-54.5992,-32.93626,-31.86963,-30.44957,-32.4001,-33.47731,4.707871,-27.63326,-96.89821,18.43915,-18.09654,19.36728,-0.1308647,-53.05349,-20.57224,-29.9358,-15.82766,-37.06423,-44.27122,-49.09827,-73.51396,-24.9152,-16.24054,-86.74606,-20.50063,17.35382,-44.68744,-35.72903,-62.42755,-46.90062,-90.34326,-92.56394,-57.27477,BASE1T0
12.22908,-39.98829,-57.7683,-47.37698,-53.82182,-64.71156,-86.45627,-52.21748,-49.58828,-50.09646,-65.60738,-9.1457,-61.13376,-63.62682,-41.0728,-33.70052,-58.98892,-59.11094,-83.33599,-31.13524,-14.08927,-2.719511,-1.39807,7.214871,16.52098,-50.62133,-52.25853,-54.73044,-20.69338,-35.88404,-69.52593,-56.94542,-31.39259,-28.82898,-29.37473,-31.48604,-31.69567,-2.07078,11.74793,-82.92888,-7.658107,-29.53455,17.89047,-1.591895,-42.01458,-13.56948,-4.528737,-7.56442,-32.51831,-39.63334,-48.47349,-77.28244,-37.20462,-17.07018,-86.17971,-13.89178,18.80512,-46.33682,-42.32261,-60.66257,-33.7018,-79.48054,-89.44276,-48.30729,BASE1T0
25.23786,-34.17379,-51.92867,-38.20649,-44.33645,-91.03539,-81.41069,-64.78603,-47.51692,-41.61916,-55.10433,-13.39523,-52.37712,-57.39539,-54.22829,-42.00104,-62.19821,-55.58974,-77.87109,-31.20992,-9.584146,13.57075,13.70049,30.11398,24.30626,-45.48782,-41.60588,-42.04924,24.73728,-40.41558,-37.56469,-55.75085,-28.66201,-25.09866,-21.98901,-24.43756,-26.28026,17.23799,-23.15385,-90.66808,-12.98992,-31.39546,3.299906,8.163506,-61.78211,-17.99738,-38.79425,-38.22537,-48.00169,-57.88625,-65.88339,-93.98003,-54.02672,-33.74599,-89.74871,-69.14059,-16.13179,-71.58121,-59.14613,-73.5871,-48.68733,-88.09204,-102.5884,-57.95169,BASE1T0
-4.493904,-57.01707,-68.30984,-54.91894,-61.13374,-113.0204,-88.81307,-93.93813,-70.90586,-70.44129,-82.86732,-26.07631,-73.57879,-80.81394,-82.83372,-64.35515,-90.15804,-80.32173,-101.8213,-51.02785,-31.56613,-2.759673,-4.159278,26.52287,12.96352,-63.63219,-64.50064,-71.65723,44.20737,-47.04092,-57.14602,-66.89008,-50.05981,-52.49273,-60.42367,-62.96185,-65.68958,-24.53783,-29.78177,-112.1003,-2.051862,-35.29772,-0.2647007,4.400488,-72.96217,-39.23683,-46.51316,-34.42223,-46.42354,-67.38248,-70.15562,-101.5695,-60.8133,-41.49719,-89.88253,-39.97237,3.346312,-66.1851,-55.25719,-68.93886,-60.82374,-100.9056,-109.5274,-63.08301,BASE1T0
-1.316356,-59.00148,-68.50037,-64.82669,-68.78463,-86.38948,-69.49978,-69.36658,-59.17302,-67.31827,-84.92073,-32.31145,-80.77477,-74.55523,-45.99454,-39.54803,-73.27862,-70.40135,-93.82702,-53.01627,-27.27419,6.984157,3.233971,26.3085,34.65713,-61.65637,-67.66039,-73.8793,9.547826,-33.89859,-56.87038,-68.38526,-43.94579,-46.07363,-44.08735,-42.14659,-42.60176,-4.665501,9.566671,-97.91618,16.36164,-37.06033,30.99514,6.384223,-48.29745,-13.62577,-26.81031,-9.28955,-39.21149,-43.30067,-49.64933,-80.23805,-46.56551,-36.99684,-88.47312,-27.57157,9.974003,-47.6499,-49.16386,-65.19987,-52.11415,-90.55052,-99.30315,-57.25305,BASE1T0
11.69646,-40.25751,-54.22746,-49.81419,-58.80667,-97.02902,-89.57236,-54.83176,-46.92164,-52.4367,-69.74948,-16.7744,-67.18758,-61.58508,-43.02115,-39.76733,-63.10223,-59.5209,-86.61154,-48.72297,-20.50782,33.30028,31.54647,55.71844,53.93542,-41.92525,-50.94981,-39.87437,6.957104,-28.40718,-31.21859,-65.76522,-32.72356,-33.8485,-10.96202,-14.16072,-13.81651,50.08902,6.093902,-71.44718,18.78734,-28.45448,16.9,6.966826,-43.39778,-9.925469,-30.19373,-23.29159,-60.15918,-57.75844,-61.26532,-87.81796,-60.79609,-37.44642,-85.43404,-58.35667,-10.66286,-63.50908,-58.79269,-66.10586,-47.34492,-81.17329,-94.31309,-53.82109,BASE1T0
10.36947,-47.81736,-60.63084,-54.99196,-59.52832,-99.49572,-77.63756,-83.66296,-65.20087,-63.73255,-75.63211,-20.51353,-63.7489,-62.28339,-72.40273,-60.6854,-78.57373,-69.88732,-90.16851,-46.92867,-19.75826,25.44783,26.99192,56.49405,35.74318,-48.12424,-52.10671,-47.42435,40.03556,-38.4253,-57.89733,-69.45089,-40.11494,-41.13316,-27.97098,-31.564,-31.73116,20.24422,-26.13347,-76.79333,-5.801906,-22.01227,-4.579772,17.09197,-74.76701,-15.28636,-35.3457,-38.96933,-55.81702,-68.45676,-68.05638,-95.9817,-62.11874,-36.00679,-73.31192,-52.82215,-7.480868,-70.45514,-54.38881,-58.28212,-50.86824,-81.46124,-94.73177,-50.00072,BASE1T0
0.8217578,-68.97215,-71.78586,-65.36613,-71.47842,-101.5654,-81.79963,-103.2238,-80.146,-79.80764,-88.77537,-33.37324,-75.39319,-70.80699,-86.91592,-71.76776,-93.89054,-80.67566,-98.864,-63.08926,-30.21631,15.30042,16.3406,52.18431,34.18514,-65.26237,-63.75221,-58.66986,71.84008,-50.69409,-75.55188,-86.22453,-54.92813,-54.95314,-53.73865,-54.53781,-57.65916,14.96288,-22.86382,-109.9352,-23.27264,-53.33292,1.361056,18.70993,-81.34636,-23.07777,-52.18152,-45.11823,-51.13512,-73.68328,-75.37199,-107.6226,-75.90925,-59.01115,-90.26536,-63.74207,-12.56916,-76.79748,-68.24825,-71.84489,-60.96675,-94.88716,-107.1998,-59.65057,BASE1T0
